start_ts,srcIp,dstIp,srcPort,dstPort,protocol,duration,packets,bytes,packetsPerSecond,bytesPerSecond,averagePacketSize,synCount,ackCount,finCount,rstCount,pshCount,urgCount,label
1787310032857,10.34.135.159,10.34.135.89,8080,42814,6,0.011573,5,440,432.04,38019.5,88.0,1,5,1,0,1,0,brute_force
1787310031990,10.34.135.159,10.34.135.89,8080,42552,6,0.008873,5,440,563.507,49588.6,88.0,1,5,1,0,1,0,brute_force
1787310032309,10.34.135.159,10.34.135.89,8080,42662,6,0.010922,5,440,457.792,40285.7,88.0,1,5,1,0,1,0,brute_force
1787310033680,10.34.135.159,10.34.135.89,8080,43166,6,0.006548,5,440,763.592,67196.1,88.0,1,5,1,0,1,0,brute_force
1787310032706,10.34.135.89,10.34.135.159,42772,8080,6,0.011159,5,528,448.069,47316.1,105.6,1,4,1,0,1,0,brute_force
1787310032279,10.34.135.89,10.34.135.159,42658,8080,6,0.011224,5,528,445.474,47042.1,105.6,1,4,1,0,1,0,brute_force
1787310033656,10.34.135.159,10.34.135.89,8080,43152,6,0.008489,5,440,588.998,51831.8,88.0,1,5,1,0,1,0,brute_force
1787310032257,10.34.135.159,10.34.135.89,8080,42650,6,0.01127,5,440,443.656,39041.7,88.0,1,5,1,0,1,0,brute_force
1787310032576,10.34.135.89,10.34.135.159,42742,8080,6,0.008891,5,528,562.366,59385.9,105.6,1,4,1,0,1,0,brute_force
1787310032140,10.34.135.159,10.34.135.89,8080,42598,6,0.01039,5,440,481.232,42348.4,88.0,1,5,1,0,1,0,brute_force
1787310033529,10.34.135.159,10.34.135.89,8080,43102,6,0.014488,5,440,345.113,30370.0,88.0,1,5,1,0,1,0,brute_force
1787310032581,10.34.135.159,10.34.135.89,8080,42742,6,0.007539,5,440,663.218,58363.2,88.0,1,5,1,0,1,0,brute_force
1787310032599,10.34.135.89,10.34.135.159,42746,8080,6,0.013617,5,528,367.188,38775.1,105.6,1,4,1,0,1,0,brute_force
1787310031744,10.34.135.89,10.34.135.159,42434,8080,6,0.011763,5,527,425.062,44801.5,105.4,1,4,1,0,1,0,brute_force
1787310033763,10.34.135.159,10.34.135.89,8080,43196,6,0.00616,5,440,811.688,71428.6,88.0,1,5,1,0,1,0,brute_force
1787310032833,10.34.135.159,10.34.135.89,8080,42806,6,0.008477,5,440,589.831,51905.2,88.0,1,5,1,0,1,0,brute_force
1787310032529,10.34.135.89,10.34.135.159,42728,8080,6,0.01175,5,528,425.532,44936.2,105.6,1,4,1,0,1,0,brute_force
1787310031720,10.34.135.89,10.34.135.159,42420,8080,6,0.011289,5,527,442.909,46682.6,105.4,1,4,1,0,1,0,brute_force
1787310033159,10.34.135.159,10.34.135.89,8080,42950,6,0.009991,5,440,500.45,44039.6,88.0,1,5,1,0,1,0,brute_force
1787310033234,10.34.135.159,10.34.135.89,8080,42982,6,0.010637,5,440,470.057,41365.0,88.0,1,5,1,0,1,0,brute_force
1787310032159,10.34.135.89,10.34.135.159,42602,8080,6,0.009813,5,528,509.528,53806.2,105.6,1,4,1,0,1,0,brute_force
